word_count,sentence_count,avg_sentence_len,legal_density,char_count,unique_words,lexical_richness,year,cohort,outcome
8985,376,23.87,0.1002,52222,1615,0.1912,1991,A_1990_2000,0
12338,480,25.65,0.0892,71170,1983,0.1696,1991,A_1990_2000,0
4830,252,19.11,0.1863,28016,1140,0.2487,1991,A_1990_2000,1
5343,233,22.93,0.2807,31218,910,0.1814,1991,A_1990_2000,0
6617,301,22.03,0.1662,39104,1371,0.2179,1991,A_1990_2000,1
1271,79,15.92,0.4721,7164,456,0.3753,1991,A_1990_2000,1
2324,154,15.06,0.4733,13698,690,0.3163,1991,A_1990_2000,1
7823,406,19.17,0.1534,45333,1661,0.2242,1991,A_1990_2000,0
51234,1968,25.97,0.039,299949,5388,0.1113,1991,A_1990_2000,0
1830,94,19.37,0.3825,11157,484,0.2869,1991,A_1990_2000,1
2532,132,19.17,0.4344,15049,619,0.2638,1991,A_1990_2000,0
2687,157,17.1,0.3349,15732,718,0.2866,1991,A_1990_2000,1
5624,275,20.45,0.2134,32841,1267,0.2367,1991,A_1990_2000,0
16310,845,19.12,0.092,98416,2929,0.1898,1991,A_1990_2000,1
15598,499,31.19,0.0962,91221,1991,0.136,1991,A_1990_2000,1
2348,106,22.14,0.3833,14186,607,0.2773,1991,A_1990_2000,1
6897,331,20.83,0.174,39859,1421,0.2185,1991,A_1990_2000,1
808,55,14.42,0.7426,4534,312,0.4035,1991,A_1990_2000,1
8668,493,17.62,0.1384,49506,1587,0.1939,1991,A_1990_2000,2
5330,292,18.21,0.1876,33244,1439,0.2837,1991,A_1990_2000,1
5401,214,25.22,0.2222,31228,1068,0.2109,1991,A_1990_2000,1
589,27,21.74,1.0187,3518,272,0.4754,1991,A_1990_2000,1
1869,94,19.72,0.535,11667,611,0.3553,1991,A_1990_2000,0
1430,66,21.64,0.4196,8242,460,0.3497,1991,A_1990_2000,1
6295,192,32.59,0.1747,36774,1505,0.2497,1991,A_1990_2000,0
28567,1100,25.83,0.063,170907,4217,0.1569,1991,A_1990_2000,0
7240,251,28.84,0.1657,42657,1548,0.2264,1991,A_1990_2000,0
5670,285,20.08,0.1235,32997,1225,0.2302,1991,A_1990_2000,2
2462,153,16.1,0.4874,14574,734,0.3209,1991,A_1990_2000,1
4277,211,20.11,0.3273,25220,1095,0.2703,1991,A_1990_2000,0
2918,144,20.25,0.3084,17222,767,0.28,1991,A_1990_2000,0
729,36,20.11,0.823,4269,303,0.4376,1991,A_1990_2000,0
3915,145,27.05,0.2299,22051,795,0.2163,1991,A_1990_2000,1
1256,72,17.4,0.6369,7436,460,0.3861,1991,A_1990_2000,2
3544,162,21.8,0.2822,21752,741,0.23,1991,A_1990_2000,1
3764,174,21.52,0.3454,22765,901,0.2569,1991,A_1990_2000,2
814,37,21.81,0.9828,4747,297,0.3833,1991,A_1990_2000,1
1844,123,14.88,0.3254,10136,607,0.3454,1991,A_1990_2000,0
5110,202,25.15,0.2348,30001,1194,0.2483,1991,A_1990_2000,0
4112,169,23.95,0.1459,24827,899,0.2279,1991,A_1990_2000,0
1522,69,21.68,0.4599,8689,524,0.3574,1991,A_1990_2000,2
2428,98,24.74,0.3707,14466,584,0.2479,1991,A_1990_2000,1
4912,157,31.26,0.1221,29477,1020,0.2182,1991,A_1990_2000,0
5242,259,20.3,0.2862,33474,1218,0.2524,1991,A_1990_2000,1
6039,289,20.79,0.1987,35315,1371,0.2408,1991,A_1990_2000,1
3762,181,20.7,0.2658,22416,852,0.2443,1991,A_1990_2000,1
2933,162,18.04,0.3409,16836,725,0.2649,1991,A_1990_2000,1
823,34,24.21,0.729,4854,336,0.4289,1991,A_1990_2000,1
6425,320,20.1,0.1712,38993,1417,0.2333,1991,A_1990_2000,1
1417,89,15.62,0.6351,8742,526,0.3867,1991,A_1990_2000,1
6109,224,27.26,0.1146,35520,1328,0.2269,1991,A_1990_2000,1
1075,65,16.38,0.6512,6079,396,0.3842,1991,A_1990_2000,1
